N_day,date,sunrise,bin_1,bin_2,delta2_1,suma,active,avg_2_1 
4994,2013-09-03,11:01:00,181.778,182.169,0.391,1.324,"[0.426, 0.507, 0.391]",0.44133333333333336
4995,2013-09-04,10:59:00,181.177,181.232,0.055,0.9530000000000001,"[0.507, 0.391, 0.055]",0.3176666666666667
4996,2013-09-05,10:58:00,181.692,182.258,0.566,1.012,"[0.391, 0.055, 0.566]",0.3373333333333333
4997,2013-09-06,10:57:00,181.155,181.254,0.099,0.72,"[0.055, 0.566, 0.099]",0.24
4998,2013-09-07,10:55:00,181.907,182.095,0.188,0.853,"[0.566, 0.099, 0.188]",0.2843333333333333
4999,2013-09-08,10:54:00,181.943,182.33,0.387,0.674,"[0.099, 0.188, 0.387]",0.22466666666666668
5007,2013-09-16,10:42:00,183.533,184.161,0.628,1.171,"[0.385, 0.158, 0.628]",0.39033333333333337
5008,2013-09-17,10:41:00,183.086,183.622,0.536,1.322,"[0.158, 0.628, 0.536]",0.4406666666666667
5016,2013-09-25,10:29:00,182.885,183.359,0.474,1.571,"[0.54, 0.557, 0.474]",0.5236666666666666
5017,2013-09-26,10:28:00,182.816,183.033,0.217,1.2480000000000002,"[0.557, 0.474, 0.217]",0.4160000000000001
5018,2013-09-27,10:26:00,182.684,182.847,0.163,0.854,"[0.474, 0.217, 0.163]",0.2846666666666667
5019,2013-09-28,10:25:00,182.758,183.066,0.308,0.688,"[0.217, 0.163, 0.308]",0.2293333333333333
5025,2013-10-04,10:16:00,182.82,182.943,0.123,0.5469999999999999,"[0.125, 0.299, 0.123]",0.18233333333333332
5026,2013-10-05,10:15:00,183.248,183.663,0.415,0.837,"[0.299, 0.123, 0.415]",0.27899999999999997
5027,2013-10-06,10:14:00,183.921,184.057,0.136,0.674,"[0.123, 0.415, 0.136]",0.22466666666666668
5028,2013-10-07,10:12:00,184.371,184.984,0.613,1.164,"[0.415, 0.136, 0.613]",0.38799999999999996
5029,2013-10-08,10:11:00,183.706,183.935,0.229,0.978,"[0.136, 0.613, 0.229]",0.326
5030,2013-10-09,10:09:00,184.038,184.102,0.064,0.9059999999999999,"[0.613, 0.229, 0.064]",0.302
5031,2013-10-10,10:08:00,183.312,183.587,0.275,0.5680000000000001,"[0.229, 0.064, 0.275]",0.18933333333333335
5044,2013-10-23,09:51:00,183.354,183.645,0.291,1.3619999999999999,"[0.623, 0.448, 0.291]",0.45399999999999996
5045,2013-10-24,09:50:00,182.122,182.647,0.525,1.264,"[0.448, 0.291, 0.525]",0.42133333333333334
5046,2013-10-25,09:49:00,182.529,182.646,0.117,0.933,"[0.291, 0.525, 0.117]",0.311
5047,2013-10-26,09:48:00,183.027,183.54,0.513,1.155,"[0.525, 0.117, 0.513]",0.385
5048,2013-10-27,09:47:00,182.726,182.964,0.238,0.868,"[0.117, 0.513, 0.238]",0.28933333333333333
5049,2013-10-28,09:46:00,182.689,182.751,0.062,0.813,"[0.513, 0.238, 0.062]",0.27099999999999996
5050,2013-10-29,09:45:00,182.289,182.215,-0.074,0.22599999999999998,"[0.238, 0.062, -0.074]",0.07533333333333332
5054,2013-11-02,09:41:00,182.304,182.484,0.18,0.387,"[0.089, 0.118, 0.18]",0.129
5055,2013-11-03,09:40:00,182.15,182.348,0.198,0.496,"[0.118, 0.18, 0.198]",0.16533333333333333
5056,2013-11-04,09:39:00,182.009,182.242,0.233,0.611,"[0.18, 0.198, 0.233]",0.20366666666666666
5057,2013-11-05,09:38:00,181.956,182.143,0.187,0.6180000000000001,"[0.198, 0.233, 0.187]",0.20600000000000004
5058,2013-11-06,09:37:00,182.049,182.171,0.122,0.542,"[0.233, 0.187, 0.122]",0.18066666666666667
5059,2013-11-07,09:36:00,182.942,182.99,0.048,0.357,"[0.187, 0.122, 0.048]",0.119
5060,2013-11-08,09:35:00,182.635,182.841,0.206,0.376,"[0.122, 0.048, 0.206]",0.12533333333333332
5061,2013-11-09,09:34:00,182.1,182.107,0.007,0.261,"[0.048, 0.206, 0.007]",0.08700000000000001
5062,2013-11-10,09:33:00,182.684,182.59,-0.094,0.119,"[0.206, 0.007, -0.094]",0.03966666666666666
5063,2013-11-11,09:33:00,182.415,182.487,0.072,-0.015,"[0.007, -0.094, 0.072]",-0.005
5064,2013-11-12,09:32:00,181.678,181.869,0.191,0.16899999999999998,"[-0.094, 0.072, 0.191]",0.056333333333333326
5065,2013-11-13,09:31:00,181.721,181.978,0.257,0.52,"[0.072, 0.191, 0.257]",0.17333333333333334
5066,2013-11-14,09:30:00,181.342,181.242,-0.1,0.348,"[0.191, 0.257, -0.1]",0.11599999999999999
5067,2013-11-15,09:30:00,181.539,181.517,-0.022,0.135,"[0.257, -0.1, -0.022]",0.045000000000000005
5068,2013-11-16,09:29:00,181.524,181.585,0.061,-0.061,"[-0.1, -0.022, 0.061]",-0.02033333333333333
5069,2013-11-17,09:28:00,181.931,182.092,0.161,0.2,"[-0.022, 0.061, 0.161]",0.06666666666666667
5070,2013-11-18,09:28:00,181.673,181.815,0.142,0.364,"[0.061, 0.161, 0.142]",0.12133333333333333
5071,2013-11-19,09:27:00,181.871,181.846,-0.025,0.27799999999999997,"[0.161, 0.142, -0.025]",0.09266666666666666
5072,2013-11-20,09:27:00,182.366,182.332,-0.034,0.08299999999999999,"[0.142, -0.025, -0.034]",0.027666666666666662
5073,2013-11-21,09:26:00,182.3,182.391,0.091,0.031999999999999994,"[-0.025, -0.034, 0.091]",0.010666666666666665
5077,2013-11-25,09:25:00,181.655,181.661,0.006,0.268,"[0.116, 0.146, 0.006]",0.08933333333333333
5078,2013-11-26,09:24:00,181.905,182.063,0.158,0.31,"[0.146, 0.006, 0.158]",0.10333333333333333
5079,2013-11-27,09:24:00,181.875,181.96,0.085,0.249,"[0.006, 0.158, 0.085]",0.083
5080,2013-11-28,09:24:00,181.714,181.735,0.021,0.264,"[0.158, 0.085, 0.021]",0.08800000000000001
5081,2013-11-29,09:23:00,182.428,182.502,0.074,0.18,"[0.085, 0.021, 0.074]",0.06
5082,2013-11-30,09:23:00,182.907,183.047,0.14,0.23500000000000001,"[0.021, 0.074, 0.14]",0.07833333333333334
5083,2013-12-01,09:23:00,181.577,181.703,0.126,0.34,"[0.074, 0.14, 0.126]",0.11333333333333334
5084,2013-12-02,09:23:00,180.314,180.361,0.047,0.313,"[0.14, 0.126, 0.047]",0.10433333333333333
5085,2013-12-03,09:23:00,180.945,181.003,0.058,0.23099999999999998,"[0.126, 0.047, 0.058]",0.077
5086,2013-12-04,09:23:00,180.804,180.836,0.032,0.137,"[0.047, 0.058, 0.032]",0.04566666666666667
5087,2013-12-05,09:23:00,180.97,181.076,0.106,0.196,"[0.058, 0.032, 0.106]",0.06533333333333334
5094,2013-12-12,09:23:00,181.394,181.702,0.308,0.495,"[0.083, 0.104, 0.308]",0.165
5095,2013-12-13,09:23:00,181.493,181.632,0.139,0.5509999999999999,"[0.104, 0.308, 0.139]",0.18366666666666664
5096,2013-12-14,09:24:00,181.561,181.532,-0.029,0.418,"[0.308, 0.139, -0.029]",0.13933333333333334
5097,2013-12-15,09:24:00,180.574,180.701,0.127,0.23700000000000002,"[0.139, -0.029, 0.127]",0.079
5098,2013-12-16,09:24:00,180.534,180.538,0.004,0.10200000000000001,"[-0.029, 0.127, 0.004]",0.034
5099,2013-12-17,09:25:00,180.528,180.729,0.201,0.332,"[0.127, 0.004, 0.201]",0.11066666666666668
5100,2013-12-18,09:25:00,180.508,180.509,0.001,0.20600000000000002,"[0.004, 0.201, 0.001]",0.06866666666666667
5105,2013-12-23,09:27:00,180.054,179.962,-0.092,0.11100000000000002,"[0.046, 0.157, -0.092]",0.037000000000000005
5106,2013-12-24,09:28:00,179.615,179.257,-0.358,-0.293,"[0.157, -0.092, -0.358]",-0.09766666666666667
5111,2013-12-29,09:31:00,180.662,180.748,0.086,0.291,"[0.172, 0.033, 0.086]",0.09699999999999999
5112,2013-12-30,09:32:00,181.267,181.159,-0.108,0.010999999999999996,"[0.033, 0.086, -0.108]",0.0036666666666666653
5121,2014-01-08,09:39:00,180.903,180.919,0.016,0.020999999999999998,"[0.062, -0.057, 0.016]",0.006999999999999999
5122,2014-01-09,09:40:00,181.519,181.464,-0.055,-0.096,"[-0.057, 0.016, -0.055]",-0.032
5123,2014-01-10,09:41:00,179.465,179.523,0.058,0.019000000000000003,"[0.016, -0.055, 0.058]",0.006333333333333334
5124,2014-01-11,09:42:00,180.143,180.312,0.169,0.17200000000000001,"[-0.055, 0.058, 0.169]",0.05733333333333334
5128,2014-01-15,09:46:00,180.222,180.344,0.122,0.424,"[0.144, 0.158, 0.122]",0.14133333333333334
5129,2014-01-16,09:47:00,180.774,180.774,0.0,0.28,"[0.158, 0.122, 0.0]",0.09333333333333334
5130,2014-01-17,09:48:00,180.286,180.39,0.104,0.22599999999999998,"[0.122, 0.0, 0.104]",0.07533333333333332
5131,2014-01-18,09:49:00,180.223,180.134,-0.089,0.015,"[0.0, 0.104, -0.089]",0.005
5132,2014-01-19,09:50:00,179.99,180.024,0.034,0.049,"[0.104, -0.089, 0.034]",0.016333333333333335
5138,2014-01-25,09:56:00,179.467,179.459,-0.008,0.138,"[0.116, 0.03, -0.008]",0.046000000000000006
5139,2014-01-26,09:57:00,180.13,180.186,0.056,0.078,"[0.03, -0.008, 0.056]",0.026
5140,2014-01-27,09:58:00,180.721,180.719,-0.002,0.046,"[-0.008, 0.056, -0.002]",0.015333333333333332
5141,2014-01-28,09:59:00,180.404,180.405,0.001,0.055,"[0.056, -0.002, 0.001]",0.018333333333333333
5142,2014-01-29,10:00:00,180.23,180.207,-0.023,-0.024,"[-0.002, 0.001, -0.023]",-0.008
5143,2014-01-30,10:01:00,180.203,180.285,0.082,0.060000000000000005,"[0.001, -0.023, 0.082]",0.02
5144,2014-01-31,10:02:00,179.559,179.711,0.152,0.211,"[-0.023, 0.082, 0.152]",0.07033333333333333
5149,2014-02-05,10:07:00,179.142,179.104,-0.038,0.126,"[0.054, 0.11, -0.038]",0.042
5153,2014-02-09,10:11:00,181.276,181.399,0.123,-0.006000000000000005,"[-0.094, -0.035, 0.123]",-0.0020000000000000018
5166,2014-02-22,10:24:00,179.526,179.606,0.08,0.092,"[0.032, -0.02, 0.08]",0.030666666666666665
5167,2014-02-23,10:25:00,179.381,179.701,0.32,0.38,"[-0.02, 0.08, 0.32]",0.12666666666666668
5168,2014-02-24,10:26:00,179.109,179.104,-0.005,0.395,"[0.08, 0.32, -0.005]",0.13166666666666668
5169,2014-02-25,10:27:00,179.983,180.006,0.023,0.338,"[0.32, -0.005, 0.023]",0.11266666666666668
5173,2014-03-01,10:30:00,178.825,178.919,0.094,0.16199999999999998,"[0.009, 0.059, 0.094]",0.05399999999999999
5174,2014-03-02,10:31:00,179.436,179.363,-0.073,0.08,"[0.059, 0.094, -0.073]",0.02666666666666667
5175,2014-03-03,10:32:00,180.007,180.027,0.02,0.04100000000000001,"[0.094, -0.073, 0.02]",0.013666666666666669
5176,2014-03-04,10:33:00,180.038,180.037,-0.001,-0.05399999999999999,"[-0.073, 0.02, -0.001]",-0.018
5177,2014-03-05,10:34:00,180.324,180.532,0.208,0.22699999999999998,"[0.02, -0.001, 0.208]",0.07566666666666666
5178,2014-03-06,10:35:00,180.35,180.435,0.085,0.292,"[-0.001, 0.208, 0.085]",0.09733333333333333
5179,2014-03-07,10:36:00,180.5,180.538,0.038,0.33099999999999996,"[0.208, 0.085, 0.038]",0.11033333333333332
5180,2014-03-08,10:37:00,181.547,181.666,0.119,0.242,"[0.085, 0.038, 0.119]",0.08066666666666666
5181,2014-03-09,10:38:00,182.674,182.78,0.106,0.263,"[0.038, 0.119, 0.106]",0.08766666666666667
5185,2014-03-13,10:41:00,181.053,181.189,0.136,0.375,"[0.12, 0.119, 0.136]",0.125
5186,2014-03-14,10:42:00,180.458,180.597,0.139,0.394,"[0.119, 0.136, 0.139]",0.13133333333333333
5187,2014-03-15,10:43:00,180.744,180.843,0.099,0.374,"[0.136, 0.139, 0.099]",0.12466666666666666
5188,2014-03-16,10:44:00,180.789,180.848,0.059,0.29700000000000004,"[0.139, 0.099, 0.059]",0.09900000000000002
5189,2014-03-17,10:44:00,180.497,180.568,0.071,0.22899999999999998,"[0.099, 0.059, 0.071]",0.07633333333333332
5190,2014-03-18,10:45:00,181.755,181.861,0.106,0.236,"[0.059, 0.071, 0.106]",0.07866666666666666
5191,2014-03-19,10:46:00,181.199,181.153,-0.046,0.131,"[0.071, 0.106, -0.046]",0.043666666666666666
5192,2014-03-20,10:47:00,180.458,180.538,0.08,0.14,"[0.106, -0.046, 0.08]",0.04666666666666667
5193,2014-03-21,10:48:00,181.899,182.01,0.111,0.14500000000000002,"[-0.046, 0.08, 0.111]",0.04833333333333334
5194,2014-03-22,10:48:00,181.185,181.349,0.164,0.355,"[0.08, 0.111, 0.164]",0.11833333333333333
5195,2014-03-23,10:49:00,181.352,181.334,-0.018,0.257,"[0.111, 0.164, -0.018]",0.08566666666666667
5196,2014-03-24,10:50:00,181.206,181.341,0.135,0.281,"[0.164, -0.018, 0.135]",0.09366666666666668
5197,2014-03-25,10:51:00,180.858,181.005,0.147,0.264,"[-0.018, 0.135, 0.147]",0.08800000000000001
5198,2014-03-26,10:52:00,180.834,180.797,-0.037,0.24500000000000002,"[0.135, 0.147, -0.037]",0.08166666666666668
5199,2014-03-27,10:53:00,180.765,181.193,0.428,0.538,"[0.147, -0.037, 0.428]",0.17933333333333334
5204,2014-04-01,10:57:00,181.895,182.326,0.431,1.4580000000000002,"[0.503, 0.524, 0.431]",0.48600000000000004
5205,2014-04-02,10:57:00,181.247,181.583,0.336,1.2910000000000001,"[0.524, 0.431, 0.336]",0.4303333333333334
5206,2014-04-03,10:58:00,181.202,181.629,0.427,1.194,"[0.431, 0.336, 0.427]",0.39799999999999996
5207,2014-04-04,10:59:00,181.35,182.059,0.709,1.472,"[0.336, 0.427, 0.709]",0.49066666666666664
5208,2014-04-05,11:00:00,181.634,181.824,0.19,1.3259999999999998,"[0.427, 0.709, 0.19]",0.44199999999999995
5209,2014-04-06,11:01:00,180.087,180.364,0.277,1.1760000000000002,"[0.709, 0.19, 0.277]",0.39200000000000007
5210,2014-04-07,11:01:00,180.973,180.821,-0.152,0.31500000000000006,"[0.19, 0.277, -0.152]",0.10500000000000002
5211,2014-04-08,11:02:00,178.723,179.535,0.812,0.937,"[0.277, -0.152, 0.812]",0.31233333333333335
5212,2014-04-09,11:03:00,180.11,180.448,0.338,0.998,"[-0.152, 0.812, 0.338]",0.33266666666666667
5213,2014-04-10,11:04:00,180.894,181.314,0.42,1.57,"[0.812, 0.338, 0.42]",0.5233333333333333
5214,2014-04-11,11:05:00,181.908,182.078,0.17,0.928,"[0.338, 0.42, 0.17]",0.30933333333333335
5256,2014-05-23,11:38:00,180.579,180.732,0.153,0.921,"[0.395, 0.373, 0.153]",0.307
5263,2014-05-30,11:43:00,182.461,182.728,0.267,0.6990000000000001,"[0.249, 0.183, 0.267]",0.233
5264,2014-05-31,11:43:00,180.996,181.273,0.277,0.7270000000000001,"[0.183, 0.267, 0.277]",0.24233333333333337
5275,2014-06-11,11:49:00,180.926,180.951,0.025,0.20299999999999999,"[0.047, 0.131, 0.025]",0.06766666666666667
5276,2014-06-12,11:50:00,181.361,181.409,0.048,0.20400000000000001,"[0.131, 0.025, 0.048]",0.068
5277,2014-06-13,11:50:00,182.413,182.453,0.04,0.11300000000000002,"[0.025, 0.048, 0.04]",0.037666666666666675
5281,2014-06-17,11:52:00,180.546,180.651,0.105,0.125,"[-0.053, 0.073, 0.105]",0.041666666666666664
5282,2014-06-18,11:52:00,179.486,179.354,-0.132,0.045999999999999985,"[0.073, 0.105, -0.132]",0.015333333333333329
5286,2014-06-22,11:53:00,180.415,180.405,-0.01,-0.026000000000000002,"[0.012, -0.028, -0.01]",-0.008666666666666668
5287,2014-06-23,11:53:00,180.256,180.333,0.077,0.039,"[-0.028, -0.01, 0.077]",0.013
5288,2014-06-24,11:53:00,180.864,181.023,0.159,0.226,"[-0.01, 0.077, 0.159]",0.07533333333333334
5289,2014-06-25,11:54:00,181.405,181.473,0.068,0.304,"[0.077, 0.159, 0.068]",0.10133333333333333
5290,2014-06-26,11:54:00,182.204,182.264,0.06,0.28700000000000003,"[0.159, 0.068, 0.06]",0.09566666666666668
5309,2014-07-15,11:50:00,180.027,180.108,0.081,0.273,"[-0.007, 0.199, 0.081]",0.09100000000000001
5310,2014-07-16,11:50:00,179.759,179.878,0.119,0.399,"[0.199, 0.081, 0.119]",0.133
5311,2014-07-17,11:50:00,180.536,180.67,0.134,0.334,"[0.081, 0.119, 0.134]",0.11133333333333334
5312,2014-07-18,11:49:00,180.604,180.546,-0.058,0.195,"[0.119, 0.134, -0.058]",0.065
5313,2014-07-19,11:49:00,180.064,180.384,0.32,0.396,"[0.134, -0.058, 0.32]",0.132
5314,2014-07-20,11:48:00,181.136,181.14,0.004,0.266,"[-0.058, 0.32, 0.004]",0.08866666666666667
5319,2014-07-25,11:45:00,182.745,183.012,0.267,0.5690000000000001,"[0.14, 0.162, 0.267]",0.18966666666666668
5323,2014-07-29,11:42:00,181.175,181.526,0.351,0.665,"[0.232, 0.082, 0.351]",0.22166666666666668
5324,2014-07-30,11:41:00,180.602,180.979,0.377,0.81,"[0.082, 0.351, 0.377]",0.27
5325,2014-07-31,11:40:00,180.661,180.605,-0.056,0.6719999999999999,"[0.351, 0.377, -0.056]",0.22399999999999998
5326,2014-08-01,11:39:00,181.534,181.554,0.02,0.341,"[0.377, -0.056, 0.02]",0.11366666666666668
5327,2014-08-02,11:38:00,181.063,181.478,0.415,0.379,"[-0.056, 0.02, 0.415]",0.12633333333333333
5328,2014-08-03,11:38:00,179.913,180.227,0.314,0.749,"[0.02, 0.415, 0.314]",0.24966666666666668
5329,2014-08-04,11:37:00,180.116,180.406,0.29,1.019,"[0.415, 0.314, 0.29]",0.3396666666666666
5335,2014-08-10,11:31:00,181.602,181.879,0.277,0.912,"[0.099, 0.536, 0.277]",0.304
5336,2014-08-11,11:30:00,181.414,181.652,0.238,1.0510000000000002,"[0.536, 0.277, 0.238]",0.3503333333333334
5337,2014-08-12,11:28:00,180.246,180.367,0.121,0.636,"[0.277, 0.238, 0.121]",0.212
5338,2014-08-13,11:27:00,180.292,180.564,0.272,0.631,"[0.238, 0.121, 0.272]",0.21033333333333334
5342,2014-08-17,11:23:00,180.139,180.209,0.07,0.312,"[0.086, 0.156, 0.07]",0.104
5346,2014-08-21,11:18:00,180.386,180.933,0.547,1.0990000000000002,"[0.213, 0.339, 0.547]",0.3663333333333334
5347,2014-08-22,11:17:00,181.05,181.294,0.244,1.1300000000000001,"[0.339, 0.547, 0.244]",0.3766666666666667
5348,2014-08-23,11:15:00,181.689,181.515,-0.174,0.617,"[0.547, 0.244, -0.174]",0.20566666666666666
5349,2014-08-24,11:14:00,182.216,182.389,0.173,0.243,"[0.244, -0.174, 0.173]",0.081
5350,2014-08-25,11:13:00,181.977,182.107,0.13,0.129,"[-0.174, 0.173, 0.13]",0.043000000000000003
5351,2014-08-26,11:12:00,181.489,182.004,0.515,0.8180000000000001,"[0.173, 0.13, 0.515]",0.27266666666666667
5352,2014-08-27,11:10:00,182.469,183.067,0.598,1.2429999999999999,"[0.13, 0.515, 0.598]",0.4143333333333333
5353,2014-08-28,11:09:00,182.367,182.562,0.195,1.308,"[0.515, 0.598, 0.195]",0.436
5354,2014-08-29,11:08:00,180.976,181.089,0.113,0.9059999999999999,"[0.598, 0.195, 0.113]",0.302
5358,2014-09-02,11:02:00,180.695,181.071,0.376,1.018,"[0.589, 0.053, 0.376]",0.3393333333333333
5359,2014-09-03,11:01:00,180.363,180.852,0.489,0.9179999999999999,"[0.053, 0.376, 0.489]",0.306
5360,2014-09-04,10:59:00,180.992,181.174,0.182,1.047,"[0.376, 0.489, 0.182]",0.349
5361,2014-09-05,10:58:00,179.787,180.029,0.242,0.913,"[0.489, 0.182, 0.242]",0.30433333333333334
5362,2014-09-06,10:57:00,179.92,180.103,0.183,0.607,"[0.182, 0.242, 0.183]",0.20233333333333334
5366,2014-09-10,10:51:00,178.898,179.491,0.593,1.371,"[0.254, 0.524, 0.593]",0.457
5367,2014-09-11,10:50:00,178.964,179.818,0.854,1.971,"[0.524, 0.593, 0.854]",0.657
5368,2014-09-12,10:48:00,178.646,179.731,1.085,2.532,"[0.593, 0.854, 1.085]",0.844
5369,2014-09-13,10:47:00,179.599,179.936,0.337,2.2760000000000002,"[0.854, 1.085, 0.337]",0.7586666666666667
5370,2014-09-14,10:45:00,179.173,179.253,0.08,1.502,"[1.085, 0.337, 0.08]",0.5006666666666667
5371,2014-09-15,10:44:00,179.224,179.472,0.248,0.665,"[0.337, 0.08, 0.248]",0.22166666666666668
5372,2014-09-16,10:42:00,180.554,181.354,0.8,1.1280000000000001,"[0.08, 0.248, 0.8]",0.37600000000000006
5376,2014-09-20,10:36:00,180.732,181.897,1.165,2.209,"[0.543, 0.501, 1.165]",0.7363333333333334
5377,2014-09-21,10:35:00,181.013,181.643,0.63,2.296,"[0.501, 1.165, 0.63]",0.7653333333333333
5378,2014-09-22,10:34:00,181.111,181.468,0.357,2.152,"[1.165, 0.63, 0.357]",0.7173333333333334
5379,2014-09-23,10:32:00,181.888,182.237,0.349,1.3359999999999999,"[0.63, 0.357, 0.349]",0.4453333333333333
5380,2014-09-24,10:31:00,181.816,182.044,0.228,0.9339999999999999,"[0.357, 0.349, 0.228]",0.3113333333333333
5381,2014-09-25,10:29:00,180.989,181.655,0.666,1.2429999999999999,"[0.349, 0.228, 0.666]",0.4143333333333333
5382,2014-09-26,10:28:00,180.564,181.049,0.485,1.379,"[0.228, 0.666, 0.485]",0.45966666666666667
5383,2014-09-27,10:26:00,180.696,180.885,0.189,1.34,"[0.666, 0.485, 0.189]",0.4466666666666667
5384,2014-09-28,10:25:00,180.609,181.067,0.458,1.132,"[0.485, 0.189, 0.458]",0.3773333333333333
5385,2014-09-29,10:23:00,179.66,180.0,0.34,0.9870000000000001,"[0.189, 0.458, 0.34]",0.329
5389,2014-10-03,10:18:00,180.487,181.104,0.617,1.031,"[-0.067, 0.481, 0.617]",0.3436666666666666
5390,2014-10-04,10:16:00,179.36,180.039,0.679,1.777,"[0.481, 0.617, 0.679]",0.5923333333333333
5394,2014-10-08,10:11:00,179.613,180.231,0.618,2.798,"[0.812, 1.368, 0.618]",0.9326666666666666
5395,2014-10-09,10:09:00,180.041,181.51,1.469,3.455,"[1.368, 0.618, 1.469]",1.1516666666666666
5396,2014-10-10,10:08:00,178.973,179.429,0.456,2.543,"[0.618, 1.469, 0.456]",0.8476666666666667
5403,2014-10-17,09:59:00,180.505,180.557,0.052,0.865,"[0.61, 0.203, 0.052]",0.28833333333333333
5404,2014-10-18,09:58:00,180.798,181.244,0.446,0.7010000000000001,"[0.203, 0.052, 0.446]",0.2336666666666667
5405,2014-10-19,09:56:00,181.129,181.594,0.465,0.9630000000000001,"[0.052, 0.446, 0.465]",0.321
5406,2014-10-20,09:55:00,180.085,180.521,0.436,1.347,"[0.446, 0.465, 0.436]",0.449
5407,2014-10-21,09:54:00,178.866,179.519,0.653,1.554,"[0.465, 0.436, 0.653]",0.518
5408,2014-10-22,09:53:00,178.593,179.367,0.774,1.863,"[0.436, 0.653, 0.774]",0.621
5409,2014-10-23,09:51:00,179.334,179.601,0.267,1.694,"[0.653, 0.774, 0.267]",0.5646666666666667
5410,2014-10-24,09:50:00,179.839,179.929,0.09,1.131,"[0.774, 0.267, 0.09]",0.377
5411,2014-10-25,09:49:00,179.106,179.202,0.096,0.45299999999999996,"[0.267, 0.09, 0.096]",0.151
5412,2014-10-26,09:48:00,178.086,178.153,0.067,0.253,"[0.09, 0.096, 0.067]",0.08433333333333333
5413,2014-10-27,09:47:00,178.678,178.324,-0.354,-0.19099999999999998,"[0.096, 0.067, -0.354]",-0.06366666666666666
5414,2014-10-28,09:46:00,177.82,177.892,0.072,-0.21499999999999997,"[0.067, -0.354, 0.072]",-0.07166666666666666
5415,2014-10-29,09:45:00,179.032,179.127,0.095,-0.18699999999999997,"[-0.354, 0.072, 0.095]",-0.062333333333333324
5416,2014-10-30,09:44:00,179.506,179.659,0.153,0.31999999999999995,"[0.072, 0.095, 0.153]",0.10666666666666665
5420,2014-11-03,09:40:00,176.852,177.075,0.223,0.505,"[0.25, 0.032, 0.223]",0.16833333333333333
5426,2014-11-09,09:34:00,176.69,176.885,0.195,0.461,"[0.133, 0.133, 0.195]",0.15366666666666667
5427,2014-11-10,09:33:00,176.102,176.381,0.279,0.607,"[0.133, 0.195, 0.279]",0.20233333333333334
5428,2014-11-11,09:33:00,177.014,177.003,-0.011,0.463,"[0.195, 0.279, -0.011]",0.15433333333333335
5429,2014-11-12,09:32:00,178.529,178.649,0.12,0.388,"[0.279, -0.011, 0.12]",0.12933333333333333
5430,2014-11-13,09:31:00,179.209,179.273,0.064,0.173,"[-0.011, 0.12, 0.064]",0.057666666666666665
5431,2014-11-14,09:30:00,179.548,179.661,0.113,0.297,"[0.12, 0.064, 0.113]",0.09899999999999999
5432,2014-11-15,09:30:00,179.06,179.3,0.24,0.417,"[0.064, 0.113, 0.24]",0.13899999999999998
5433,2014-11-16,09:29:00,179.328,179.533,0.205,0.5579999999999999,"[0.113, 0.24, 0.205]",0.18599999999999997
5434,2014-11-17,09:28:00,179.22,179.225,0.005,0.44999999999999996,"[0.24, 0.205, 0.005]",0.15
5435,2014-11-18,09:28:00,178.668,178.836,0.168,0.378,"[0.205, 0.005, 0.168]",0.126
5436,2014-11-19,09:27:00,180.29,180.243,-0.047,0.126,"[0.005, 0.168, -0.047]",0.042
5437,2014-11-20,09:27:00,180.652,180.74,0.088,0.20900000000000002,"[0.168, -0.047, 0.088]",0.06966666666666667
5441,2014-11-24,09:25:00,179.292,179.346,0.054,0.263,"[0.019, 0.19, 0.054]",0.08766666666666667
5442,2014-11-25,09:25:00,179.198,179.208,0.01,0.254,"[0.19, 0.054, 0.01]",0.08466666666666667
5443,2014-11-26,09:24:00,179.899,179.773,-0.126,-0.062,"[0.054, 0.01, -0.126]",-0.020666666666666667
5444,2014-11-27,09:24:00,179.936,179.976,0.04,-0.07600000000000001,"[0.01, -0.126, 0.04]",-0.025333333333333336
5445,2014-11-28,09:24:00,179.258,179.452,0.194,0.10800000000000001,"[-0.126, 0.04, 0.194]",0.036000000000000004
5446,2014-11-29,09:23:00,178.158,178.23,0.072,0.306,"[0.04, 0.194, 0.072]",0.102
5451,2014-12-04,09:23:00,175.405,175.586,0.181,0.494,"[0.152, 0.161, 0.181]",0.16466666666666666
5452,2014-12-05,09:23:00,174.524,174.73,0.206,0.5479999999999999,"[0.161, 0.181, 0.206]",0.18266666666666664
5453,2014-12-06,09:23:00,174.159,174.332,0.173,0.56,"[0.181, 0.206, 0.173]",0.18666666666666668
5454,2014-12-07,09:23:00,175.243,175.465,0.222,0.601,"[0.206, 0.173, 0.222]",0.20033333333333334
5455,2014-12-08,09:23:00,175.82,176.027,0.207,0.602,"[0.173, 0.222, 0.207]",0.20066666666666666
5456,2014-12-09,09:23:00,176.12,176.099,-0.021,0.408,"[0.222, 0.207, -0.021]",0.13599999999999998
5457,2014-12-10,09:23:00,176.927,177.118,0.191,0.377,"[0.207, -0.021, 0.191]",0.12566666666666668
5458,2014-12-11,09:23:00,178.228,178.45,0.222,0.392,"[-0.021, 0.191, 0.222]",0.13066666666666668
5459,2014-12-12,09:23:00,178.547,178.637,0.09,0.503,"[0.191, 0.222, 0.09]",0.16766666666666666
5460,2014-12-13,09:23:00,178.136,178.187,0.051,0.363,"[0.222, 0.09, 0.051]",0.121
5461,2014-12-14,09:24:00,178.118,178.129,0.011,0.152,"[0.09, 0.051, 0.011]",0.050666666666666665
